run,operation,started,time,status,label,Eval/log_likelihood,Eval/rmse,Eval/calibr_error,Loss/train,Loss/train_NP,meta_learner,covar_module,mean_module,n_samples_per_task,n_train_tasks,n_test_context_samples,num_iter_fit,Eval/loss,context_mask,dataset,kernel_nn_layers,lr_decay,lr_params,mean_nn_layers,random_seed,task_batch_size,weight_decay,step
12156dfb,1D:train-meta-gpr,2020-09-17 17:31:47,0:01:37,completed,cauchy_gp,0.5118188858032227,0.2566322684288025,0.15164582431316376,0.4598541259765625,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",21,4,0.001,5000
72de1ae5,1D:train-np,2020-09-17 17:30:01,0:02:02,completed,cauchy_np,-0.1260741651058197,0.20666716992855072,0.18714645504951477,,0.7595288753509521,attentive_conditional_neural_process,,,20,20,5,5000,9476.6015625,,,,,,,,,,
55a0f541,1D:train-meta-gpr,2020-09-17 17:29:56,0:01:48,completed,cauchy_gp,0.5009304881095886,0.1650913655757904,0.14637142419815063,-0.6324926018714905,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",29,4,0.001,5000
13bddd7c,1D:train-meta-gpr,2020-09-17 17:28:05,0:01:49,completed,cauchy_gp,0.6785220503807068,0.1593720018863678,0.1386696845293045,-1.023374319076538,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",28,4,0.001,5000
e74ca3cf,1D:train-np,2020-09-17 17:27:53,0:02:05,completed,cauchy_np,-0.4337671101093292,0.20151279866695404,0.17704610526561737,,1.4763528108596802,attentive_conditional_neural_process,,,20,20,5,5000,9416.5947265625,,,,,,,,,,
9a68d46f,1D:train-meta-gpr,2020-09-17 17:26:16,0:01:47,completed,cauchy_gp,0.49997082352638245,0.16575023531913757,0.14294670522212982,-0.8957288861274719,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",27,4,0.001,5000
c94ec00f,1D:train-np,2020-09-17 17:25:44,0:02:06,completed,cauchy_np,-0.14921961724758148,0.19373685121536255,0.17541290819644928,,-0.41570210456848145,attentive_conditional_neural_process,,,20,20,5,5000,11933.1123046875,,,,,,,,,,
ac3802f8,1D:train-meta-gpr,2020-09-17 17:24:26,0:01:47,completed,cauchy_gp,0.6001197695732117,0.16179022192955017,0.14178021252155304,-1.285766363143921,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",26,4,0.001,5000
378912ef,1D:train-np,2020-09-17 17:23:38,0:02:03,completed,cauchy_np,-0.07242245227098465,0.19514940679073334,0.17178824543952942,,-0.2883153557777405,attentive_conditional_neural_process,,,20,20,5,5000,10532.7978515625,,,,,,,,,,
42903f8b,1D:train-meta-gpr,2020-09-17 17:22:35,0:01:49,completed,cauchy_gp,0.36786454916000366,0.17387185990810394,0.15424898266792297,-0.9317776560783386,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",25,4,0.001,5000
58323183,1D:train-np,2020-09-17 17:22:11,0:01:24,completed,cauchy_np,-0.12120417505502701,0.189733624458313,0.17508484423160553,,-0.20104172825813293,conditional_neural_process,,,20,20,5,5000,31958.5078125,,,,,,,,,,
b9482ad8,1D:train-meta-gpr,2020-09-17 17:20:45,0:01:47,completed,cauchy_gp,0.6156968474388123,0.16439440846443176,0.1401698887348175,-0.9665004014968872,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",24,4,0.001,5000
bc7cf706,1D:train-np,2020-09-17 17:20:44,0:01:25,completed,cauchy_np,-0.18140371143817902,0.1918589025735855,0.1819716840982437,,0.0010276362299919128,conditional_neural_process,,,20,20,5,5000,29917.17578125,,,,,,,,,,
