run,operation,started,time,status,label,Eval/log_likelihood,Eval/rmse,Eval/calibr_error,Loss/train,Loss/train_NP,meta_learner,covar_module,mean_module,n_samples_per_task,n_train_tasks,n_test_context_samples,num_iter_fit,Eval/loss,context_mask,dataset,kernel_nn_layers,lr_decay,lr_params,mean_nn_layers,random_seed,task_batch_size,weight_decay,step
c944371a,1D:train-np,2020-09-16 00:11:39,0:08:36,completed,physionet_np,-1.723911166191101,1.4119141101837158,0.18933255970478058,,-5.126267433166504,attentive_conditional_neural_process,,,50,100,5,10000,318092.09375,,,,,,,,,,
963ca40b,1D:train-meta-gpr,2020-09-16 00:11:00,0:05:33,completed,physionet_gp_new,-1.6995177268981934,1.7701362371444702,0.179442897439003,10.866674423217773,,gpr_meta_mll,SE,constant,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",28,16,0.001,10000
2c45ca84,1D:train-np,2020-09-16 00:06:33,0:05:04,completed,physionet_np,-2.020153760910034,1.8302552700042725,0.20811709761619568,,-0.491860568523407,conditional_neural_process,,,50,100,5,10000,5.675385672877421e+19,,,,,,,,,,
3530ec84,1D:train-meta-gpr,2020-09-16 00:05:23,0:05:34,completed,physionet_gp_new,-1.6983206272125244,1.7670313119888306,0.17926444113254547,8.12552547454834,,gpr_meta_mll,SE,constant,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",27,16,0.001,10000
937d7385,1D:train-np,2020-09-16 00:01:37,0:04:55,completed,physionet_np,-1.8962560892105103,1.7259575128555298,0.19768042862415314,,10.648327827453613,conditional_neural_process,,,50,100,5,10000,3.6984465038036173e+18,,,,,,,,,,
30ce7e85,1D:train-meta-gpr,2020-09-15 23:59:50,0:05:32,completed,physionet_gp_new,-1.7021616697311401,1.7765450477600098,0.17968487739562988,18.26958656311035,,gpr_meta_mll,SE,constant,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",26,16,0.001,10000
e9867a7c,1D:train-np,2020-09-15 23:56:36,0:04:59,completed,physionet_np,-1.9246830940246582,1.7196500301361084,0.19147171080112457,,9.787616729736328,conditional_neural_process,,,50,100,5,10000,4.334730859140612e+18,,,,,,,,,,
bdfb040f,1D:train-meta-gpr,2020-09-15 23:54:19,0:05:28,completed,physionet_gp_new,-1.698750615119934,1.774469256401062,0.17948012053966522,11.514883041381836,,gpr_meta_mll,SE,constant,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",25,16,0.001,10000
6d4746dc,1D:train-np,2020-09-15 23:51:34,0:05:00,completed,physionet_np,-1.911672830581665,1.6938029527664185,0.20035938918590546,,-2.256511688232422,conditional_neural_process,,,50,100,5,10000,5.855957587897772e+19,,,,,,,,,,
bbe70424,1D:train-meta-gpr,2020-09-15 23:47:44,0:06:34,completed,physionet_gp_new,-1.6976510286331177,1.705323338508606,0.17935505509376526,13.222271919250488,,gpr_meta_mll,SE,NN,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",29,16,0.001,10000
34987368,1D:train-np,2020-09-15 23:41:25,0:10:07,completed,physionet_np,-2.056030750274658,1.8606809377670288,0.2067899852991104,,5.301931381225586,neural_process,,,50,100,5,10000,1.1387789263434154e+19,,,,,,,,,,
843bd636,1D:train-meta-gpr,2020-09-15 23:41:09,0:06:33,completed,physionet_gp_new,-1.6974869966506958,1.7055089473724365,0.18007750809192657,10.684805870056152,,gpr_meta_mll,SE,NN,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",28,16,0.001,10000
17a7fcdb,1D:train-meta-gpr,2020-09-15 23:34:25,0:06:41,completed,physionet_gp_new,-1.6995856761932373,1.704618215560913,0.1804347038269043,8.154265403747559,,gpr_meta_mll,SE,NN,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",27,16,0.001,10000
4dd3e494,1D:train-np,2020-09-15 23:31:15,0:10:08,completed,physionet_np,-1.9875763654708862,1.845646858215332,0.1990734487771988,,10.404813766479492,neural_process,,,50,100,5,10000,1.034737480235437e+22,,,,,,,,,,
b09455cc,1D:train-meta-gpr,2020-09-15 23:27:41,0:06:43,completed,physionet_gp_new,-1.7014080286026,1.7113796472549438,0.1803281307220459,18.384275436401367,,gpr_meta_mll,SE,NN,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",26,16,0.001,10000
29313a70,1D:train-meta-gpr,2020-09-15 23:21:00,0:06:39,completed,physionet_gp_new,-1.6968121528625488,1.7086451053619385,0.17904934287071228,11.489362716674805,,gpr_meta_mll,SE,NN,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",25,16,0.001,10000
0d353c15,1D:train-np,2020-09-15 23:20:58,0:10:16,completed,physionet_np,-1.9648056030273438,1.7687982320785522,0.20060382783412933,,7.657466411590576,neural_process,,,50,100,5,10000,1.6990471357202096e+21,,,,,,,,,,
b0d62f5a,1D:train-np,2020-09-15 23:10:47,0:10:09,completed,physionet_np,-1.9590550661087036,1.7601155042648315,0.19979947805404663,,1.1782410144805908,neural_process,,,50,100,5,10000,4.690539473934274e+20,,,,,,,,,,
1903aafe,1D:train-np,2020-09-15 21:10:56,0:26:09,completed,physionet_np,-1.8659769296646118,1.829763650894165,0.1683758646249771,,-7.979722023010254,conv_conditional_neural_process,,,50,100,5,10000,111162.09375,,,,,,,,,,
0a106af3,1D:train-np,2020-09-15 20:57:24,0:13:31,completed,physionet_np,-1.5439081192016602,1.3347645998001099,0.18224157392978668,,-0.2962380647659302,attentive_neural_process,,,50,100,5,10000,834307.8125,,,,,,,,,,
96091a9b,1D:train-np,2020-09-15 20:49:02,0:08:20,completed,physionet_np,-1.4873260259628296,1.3395438194274902,0.1837502121925354,,-2.5702083110809326,attentive_conditional_neural_process,,,50,100,5,10000,156400.78125,,,,,,,,,,
9721341e,1D:train-np,2020-09-15 20:44:19,0:04:42,completed,physionet_np,-1.9206984043121338,1.6755826473236084,0.19132722914218903,,6.739556312561035,conditional_neural_process,,,50,100,5,10000,3.207166291693535e+18,,,,,,,,,,
37db3b15,1D:train-np,2020-09-15 20:34:22,0:09:56,completed,physionet_np,-1.9484574794769287,1.778570294380188,0.18535886704921722,,9.65618896484375,neural_process,,,50,100,5,10000,1.675660187496612e+17,,,,,,,,,,
1f264acf,1D:train-np,2020-09-15 19:41:11,0:08:20,completed,physionet_np_grid,-1.875220537185669,1.502421259880066,0.19497638940811157,,2.1364309787750244,attentive_conditional_neural_process,,,50,100,5,10000,510009536.0,,,,,,,,,,
97e03058,1D:train-np,2020-09-15 19:40:48,0:13:33,completed,physionet_np_grid,-1.9543811082839966,1.6140278577804565,0.210993692278862,,6.808964729309082,attentive_neural_process,,,50,100,5,10000,1379775.5,,,,,,,,,,
d4139b05,1D:train-np,2020-09-15 19:38:47,0:27:21,completed,physionet_np_grid,-2.4676425457000732,2.723872423171997,0.18618236482143402,,16.16571044921875,conv_conditional_neural_process,,,50,100,5,10000,14556.080078125,,,,,,,,,,
7a542ffa,1D:train-np,2020-09-15 18:04:01,0:14:27,completed,physionet_np_grid,-1.45395028591156,1.7782222032546997,0.16282717883586884,,-5.053390979766846,conv_conditional_neural_process,,,50,100,5,5000,105305.8203125,,,,,,,,,,
c39fde63,1D:train-np,2020-09-15 17:56:49,0:07:11,completed,physionet_np_grid,-1.6001460552215576,1.4493834972381592,0.19772969186306,,-5.359828948974609,attentive_neural_process,,,50,100,5,5000,3121348.25,,,,,,,,,,
60640d98,1D:train-np,2020-09-15 17:52:12,0:04:35,completed,physionet_np_grid,-1.5489985942840576,1.341813325881958,0.1826559454202652,,-3.474398374557495,attentive_conditional_neural_process,,,50,100,5,5000,339239.1875,,,,,,,,,,
59836435,1D:train-np,2020-09-15 17:49:33,0:02:38,completed,physionet_np_grid,-1.9284348487854004,1.7046841382980347,0.19728867709636688,,6.134654521942139,conditional_neural_process,,,50,100,5,5000,3.490842105853929e+19,,,,,,,,,,
d64b69a2,1D:train-np,2020-09-15 17:44:06,0:05:26,completed,physionet_np_grid,-2.0121474266052246,1.8382574319839478,0.19360071420669556,,5.200775146484375,neural_process,,,50,100,5,5000,5.217925718623882e+27,,,,,,,,,,
35f681c7,1D:train-np,2020-09-15 17:32:12,0:11:52,completed,physionet_np_grid,-2.0921666622161865,1.7755496501922607,0.21568943560123444,,7.886318683624268,conv_conditional_neural_process,,,50,100,5,5000,10685193.0,,,,,,,,,,
c66f029c,1D:train-np,2020-09-15 17:24:33,0:07:38,completed,physionet_np_grid,-1.9356144666671753,1.4743211269378662,0.22125959396362305,,2.223921537399292,attentive_neural_process,,,50,100,5,5000,151820.75,,,,,,,,,,
0ad9d6ad,1D:train-np,2020-09-15 17:20:01,0:04:31,completed,physionet_np_grid,-1.8580244779586792,1.6646265983581543,0.260053813457489,,-0.5330967903137207,attentive_conditional_neural_process,,,50,100,5,5000,40192.71875,,,,,,,,,,
618fc6b1,1D:train-np,2020-09-15 17:17:17,0:02:43,completed,physionet_np_grid,-2.0636696815490723,1.9356409311294556,0.23088520765304565,,9.704792022705078,conditional_neural_process,,,50,100,5,5000,131722.421875,,,,,,,,,,
6a4406b0,1D:train-np,2020-09-15 17:11:39,0:05:36,completed,physionet_np_grid,-2.0259711742401123,1.7734651565551758,0.22152474522590637,,8.060310363769531,neural_process,,,50,100,5,5000,5365116416.0,,,,,,,,,,
46be6b29,1D:train-np,2020-09-15 17:03:22,0:03:30,completed,physionet,-2.249401092529297,2.1108005046844482,0.24190925061702728,,1.6128039360046387,neural_process,,,50,100,5,10000,12160659.0,,,,,,,,,,
